id,sku,dealer_id,brand,category,title,description,long_description,product_url,affiliate_url,image,additional_image_urls,price,previous_price,currency,availability,badge,featured,new_arrival,clearance,best_value,best_seller,merchant_priority,collection,metal_type,weight,purity,country,mint,created_at,last_updated,condition,active
seed-mme-gold-bar-001,,money-metals-exchange,Placeholder Brand,gold-bars,Placeholder Gold Bar Collection 01,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/gold-bar-001,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-gold-bar-001.webp,,,,CAD,in stock,Featured,TRUE,FALSE,FALSE,FALSE,FALSE,5,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-mme-gold-coin-002,,money-metals-exchange,Placeholder Brand,gold-coins,Placeholder Gold Coin Collection 02,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/gold-coin-002,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-gold-coin-002.webp,,,,CAD,in stock,Featured,TRUE,FALSE,FALSE,FALSE,FALSE,5,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-mme-silver-bar-003,,money-metals-exchange,Placeholder Brand,silver-bars,Placeholder Silver Bar Collection 03,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/silver-bar-003,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-silver-bar-003.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-mme-silver-coin-004,,money-metals-exchange,Placeholder Brand,silver-coins,Placeholder Silver Coin Collection 04,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/silver-coin-004,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-silver-coin-004.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-mme-platinum-005,,money-metals-exchange,Placeholder Brand,platinum,Placeholder Platinum Collection 05,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/platinum-005,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-platinum-005.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,platinum,platinum,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-mme-copper-006,,money-metals-exchange,Placeholder Brand,copper,Placeholder Copper Collection 06,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/copper-006,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-copper-006.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,copper,copper,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-mme-gold-bar-007,,money-metals-exchange,Placeholder Brand,gold-bars,Placeholder Gold Bar Collection 07,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/gold-bar-007,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-gold-bar-007.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-mme-gold-coin-008,,money-metals-exchange,Placeholder Brand,gold-coins,Placeholder Gold Coin Collection 08,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/gold-coin-008,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-gold-coin-008.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-mme-silver-bar-009,,money-metals-exchange,Placeholder Brand,silver-bars,Placeholder Silver Bar Collection 09,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/silver-bar-009,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-silver-bar-009.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-mme-silver-coin-010,,money-metals-exchange,Placeholder Brand,silver-coins,Placeholder Silver Coin Collection 10,Placeholder Money Metals catalog entry for import testing only.,,https://placeholder.invalid/money-metals/silver-coin-010,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,https://placeholder.invalid/images/mme-silver-coin-010.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-kitco-gold-bar-001,,kitco,Placeholder Brand,gold-bars,Placeholder Gold Bar Selection 01,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/gold-bar-001,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-gold-bar-001.webp,,,,CAD,in stock,Featured,TRUE,FALSE,FALSE,FALSE,FALSE,5,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-kitco-gold-coin-002,,kitco,Placeholder Brand,gold-coins,Placeholder Gold Coin Selection 02,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/gold-coin-002,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-gold-coin-002.webp,,,,CAD,in stock,Featured,TRUE,FALSE,FALSE,FALSE,FALSE,5,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-kitco-silver-bar-003,,kitco,Placeholder Brand,silver-bars,Placeholder Silver Bar Selection 03,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/silver-bar-003,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-silver-bar-003.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-kitco-silver-coin-004,,kitco,Placeholder Brand,silver-coins,Placeholder Silver Coin Selection 04,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/silver-coin-004,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-silver-coin-004.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-kitco-platinum-005,,kitco,Placeholder Brand,platinum,Placeholder Platinum Selection 05,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/platinum-005,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-platinum-005.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,platinum,platinum,,,,,,2026-07-26T00:00:00Z,new,TRUE
